"PassengerId","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","prediccion"
1,"3","User 1","male",22,1,1,"A/5 21171",7.25,"","Southampton","Dead"
2,"1","User 2","female",38,1,1,"PC 17599",71.2833,"C85","Cherbourg","Survived"
3,"3","User 3","male",26,1,0,"STON/O2. 3101282",7.925,"","Southampton","Dead"
4,"1","User 4","female",35,1,0,"113803",53.1,"C123","Southampton","Survived"
5,"3","User 5","male",35,0,0,"373450",8.05,"","Southampton","Dead"
6,"3","User 6","male",33,2,1,"330877",8.4583,"","Queenstown","Dead"
7,"1","User 7","female",54,2,0,"17463",51.8625,"E46","Southampton","Survived"
8,"1","User 8","male",2,3,2,"349909",400,"","Southampton","Dead"
9,"3","User 9","female",27,2,2,"347742",11.1333,"","Southampton","Survived"
10,"2","User 10","female",14,1,0,"237736",30.0708,"","Cherbourg","Survived"
